message,label
Doctor appointment at 4 PM today.,important
Happy Birthday 🎉🥳,not_important
Final interview scheduled for Friday 11 AM.,important
This filter makes me look like a cat 🐱,not_important
Submit the project report before 6 PM.,important
"Haha, classic joke!",not_important
Final interview scheduled for Friday 11 AM.,important
This filter makes me look like a cat 🐱,not_important
"Urgent: Server down, need immediate action!",important
Happy Birthday 🎉🥳,not_important
"Urgent: Server down, need immediate action!",important
Are you coming to the party tonight?,not_important
Doctor appointment at 4 PM today.,important
Happy Birthday 🎉🥳,not_important
Submit the project report before 6 PM.,important
Lol that was so funny 😂😂,not_important
Final interview scheduled for Friday 11 AM.,important
"Good morning, have a nice day!",not_important
Pay your electricity bill before due date.,important
Check out this cool song on YouTube.,not_important
"Client call scheduled at 3 PM, be prepared.",important
Hey check out this meme 😂,not_important
Final interview scheduled for Friday 11 AM.,important
Let's play PUBG later tonight.,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
"Haha, classic joke!",not_important
Submit the project report before 6 PM.,important
Let's play PUBG later tonight.,not_important
Submit the project report before 6 PM.,important
Check out this cool song on YouTube.,not_important
Final interview scheduled for Friday 11 AM.,important
Happy Birthday 🎉🥳,not_important
"Urgent: Server down, need immediate action!",important
"Good morning, have a nice day!",not_important
Submit the project report before 6 PM.,important
Let's play PUBG later tonight.,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Check out this cool song on YouTube.,not_important
Exam results will be declared tomorrow morning.,important
Are you coming to the party tonight?,not_important
Final interview scheduled for Friday 11 AM.,important
"Watching Netflix, want to join?",not_important
"Your OTP is 452891, valid for 10 minutes.",important
Are you coming to the party tonight?,not_important
Exam results will be declared tomorrow morning.,important
Are you coming to the party tonight?,not_important
"Flight rescheduled to 7 PM, check-in early.",important
"Haha, classic joke!",not_important
Final interview scheduled for Friday 11 AM.,important
Happy Birthday 🎉🥳,not_important
"Client call scheduled at 3 PM, be prepared.",important
Lol that was so funny 😂😂,not_important
Doctor appointment at 4 PM today.,important
Hey check out this meme 😂,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Happy Birthday 🎉🥳,not_important
Exam results will be declared tomorrow morning.,important
Lol that was so funny 😂😂,not_important
Pay your electricity bill before due date.,important
Lol that was so funny 😂😂,not_important
Exam results will be declared tomorrow morning.,important
This filter makes me look like a cat 🐱,not_important
Pay your electricity bill before due date.,important
Happy Birthday 🎉🥳,not_important
Doctor appointment at 4 PM today.,important
Happy Birthday 🎉🥳,not_important
"Your OTP is 452891, valid for 10 minutes.",important
"Watching Netflix, want to join?",not_important
"Urgent: Server down, need immediate action!",important
Hey check out this meme 😂,not_important
"Urgent: Server down, need immediate action!",important
Are you coming to the party tonight?,not_important
Exam results will be declared tomorrow morning.,important
Are you coming to the party tonight?,not_important
Final interview scheduled for Friday 11 AM.,important
"Good morning, have a nice day!",not_important
"Flight rescheduled to 7 PM, check-in early.",important
Happy Birthday 🎉🥳,not_important
Final interview scheduled for Friday 11 AM.,important
Let's play PUBG later tonight.,not_important
Final interview scheduled for Friday 11 AM.,important
"Good morning, have a nice day!",not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Let's play PUBG later tonight.,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Check out this cool song on YouTube.,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Happy Birthday 🎉🥳,not_important
"Urgent: Server down, need immediate action!",important
"Haha, classic joke!",not_important
Doctor appointment at 4 PM today.,important
Let's play PUBG later tonight.,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Lol that was so funny 😂😂,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Let's play PUBG later tonight.,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Lol that was so funny 😂😂,not_important
Exam results will be declared tomorrow morning.,important
This filter makes me look like a cat 🐱,not_important
Pay your electricity bill before due date.,important
"Good morning, have a nice day!",not_important
Exam results will be declared tomorrow morning.,important
Happy Birthday 🎉🥳,not_important
Exam results will be declared tomorrow morning.,important
Check out this cool song on YouTube.,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Hey check out this meme 😂,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Lol that was so funny 😂😂,not_important
"Your OTP is 452891, valid for 10 minutes.",important
"Good morning, have a nice day!",not_important
Pay your electricity bill before due date.,important
Hey check out this meme 😂,not_important
"Client call scheduled at 3 PM, be prepared.",important
Happy Birthday 🎉🥳,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Let's play PUBG later tonight.,not_important
"Your OTP is 452891, valid for 10 minutes.",important
"Watching Netflix, want to join?",not_important
"Your OTP is 452891, valid for 10 minutes.",important
"Good morning, have a nice day!",not_important
Final interview scheduled for Friday 11 AM.,important
This filter makes me look like a cat 🐱,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Lol that was so funny 😂😂,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Are you coming to the party tonight?,not_important
"Client call scheduled at 3 PM, be prepared.",important
Happy Birthday 🎉🥳,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
This filter makes me look like a cat 🐱,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Are you coming to the party tonight?,not_important
"Your OTP is 452891, valid for 10 minutes.",important
"Haha, classic joke!",not_important
Submit the project report before 6 PM.,important
Let's play PUBG later tonight.,not_important
Submit the project report before 6 PM.,important
Let's play PUBG later tonight.,not_important
Exam results will be declared tomorrow morning.,important
Are you coming to the party tonight?,not_important
Doctor appointment at 4 PM today.,important
This filter makes me look like a cat 🐱,not_important
"Urgent: Server down, need immediate action!",important
"Haha, classic joke!",not_important
Submit the project report before 6 PM.,important
"Good morning, have a nice day!",not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
This filter makes me look like a cat 🐱,not_important
Final interview scheduled for Friday 11 AM.,important
Hey check out this meme 😂,not_important
Final interview scheduled for Friday 11 AM.,important
"Good morning, have a nice day!",not_important
Submit the project report before 6 PM.,important
"Good morning, have a nice day!",not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Hey check out this meme 😂,not_important
"Urgent: Server down, need immediate action!",important
This filter makes me look like a cat 🐱,not_important
Exam results will be declared tomorrow morning.,important
"Good morning, have a nice day!",not_important
Final interview scheduled for Friday 11 AM.,important
Check out this cool song on YouTube.,not_important
"Urgent: Server down, need immediate action!",important
This filter makes me look like a cat 🐱,not_important
Doctor appointment at 4 PM today.,important
"Watching Netflix, want to join?",not_important
"Client call scheduled at 3 PM, be prepared.",important
Lol that was so funny 😂😂,not_important
Exam results will be declared tomorrow morning.,important
Hey check out this meme 😂,not_important
Pay your electricity bill before due date.,important
"Good morning, have a nice day!",not_important
"Your OTP is 452891, valid for 10 minutes.",important
Happy Birthday 🎉🥳,not_important
Final interview scheduled for Friday 11 AM.,important
Are you coming to the party tonight?,not_important
Final interview scheduled for Friday 11 AM.,important
Lol that was so funny 😂😂,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Are you coming to the party tonight?,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Check out this cool song on YouTube.,not_important
Exam results will be declared tomorrow morning.,important
Are you coming to the party tonight?,not_important
Submit the project report before 6 PM.,important
"Haha, classic joke!",not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
Check out this cool song on YouTube.,not_important
"Urgent: Server down, need immediate action!",important
This filter makes me look like a cat 🐱,not_important
"Flight rescheduled to 7 PM, check-in early.",important
Happy Birthday 🎉🥳,not_important
Final interview scheduled for Friday 11 AM.,important
This filter makes me look like a cat 🐱,not_important
"Your OTP is 452891, valid for 10 minutes.",important
Let's play PUBG later tonight.,not_important
Exam results will be declared tomorrow morning.,important
Happy Birthday 🎉🥳,not_important
Meeting at 10 AM tomorrow. Don’t be late!,important
